turtle,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9
1,-3.133272845558609,-3.1200579499413306,-3.1068430543240524,-3.0936281587067738,-3.080413263089495,-3.0671983674722165,-3.0539834718549383,-3.0407685762376597,-3.027553680620381,-3.014338785003103,-3.0011238893858243,-2.9954290029490336,-2.9897341165122424,-2.9840392300754517,-2.978344343638661,-2.97264945720187,-2.966954570765079,-2.9612596843282883,-2.9555647978914976,-2.9498699114547065,-2.9441750250179157,-2.9498699114547065,-2.9555647978914976,-2.9612596843282883,-2.966954570765079,-2.97264945720187,-2.978344343638661,-2.9840392300754517,-2.9897341165122424,-2.9954290029490336,-3.0011238893858243,-3.014338785003103,-3.027553680620381,-3.0407685762376597,-3.0539834718549383,-3.0671983674722165,-3.080413263089495,-3.0936281587067738,-3.1068430543240524,-3.1200579499413306,-3.133272845558609,-3.1339088266127115,-3.134544807666814,-3.135180788720916,-3.1358167697750186,-3.136452750829121,-3.1370887318832232,-3.1377247129373256,-3.138360693991428,-3.1389966750455303,-3.1396326560996326,-3.1278634417395272,-3.116094227379422,-3.104325013019316,-3.0925557986592107,-3.0807865842991053,-3.069017369939,-3.0572481555788946,-3.045478941218789,-3.0337097268586835,-3.021940512498578,-3.0201997364928497,-3.0184589604871213,-3.0167181844813933,-3.014977408475665,-3.0132366324699364,-3.011495856464208,-3.0097550804584796,-3.0080143044527516,-3.0062735284470232
2,-2.9602857789769392,-2.9468755036053214,-2.933465228233704,-2.920054952862086,-2.9066446774904686,-2.8932344021188507,-2.879824126747233,-2.8664138513756154,-2.8530035760039976,-2.83959330063238,-2.8261830252607623,-2.815203854892826,-2.80422468452489,-2.793245514156954,-2.782266343789018,-2.771287173421082,-2.760308003053146,-2.74932883268521,-2.738349662317274,-2.727370491949338,-2.7163913215814017,-2.727370491949338,-2.738349662317274,-2.74932883268521,-2.760308003053146,-2.771287173421082,-2.782266343789018,-2.793245514156954,-2.80422468452489,-2.815203854892826,-2.8261830252607623,-2.83959330063238,-2.8530035760039976,-2.8664138513756154,-2.879824126747233,-2.8932344021188507,-2.9066446774904686,-2.920054952862086,-2.933465228233704,-2.9468755036053214,-2.9602857789769392,-2.9608975170897307,-2.9615092552025217,-2.962120993315313,-2.9627327314281047,-2.963344469540896,-2.963956207653687,-2.9645679457664786,-2.96517968387927,-2.965791421992061,-2.9664031601048526,-2.9552320947728505,-2.9440610294408485,-2.9328899641088464,-2.9217188987768443,-2.9105478334448422,-2.89937676811284,-2.888205702780838,-2.877034637448836,-2.865863572116834,-2.854692506784832,-2.850723750680097,-2.8467549945753627,-2.842786238470628,-2.8388174823658936,-2.834848726261159,-2.830879970156424,-2.8269112140516897,-2.822942457946955,-2.8189737018422205
3,-2.786474085266725,-2.772929735307472,-2.75938538534822,-2.7458410353889677,-2.732296685429715,-2.7187523354704624,-2.70520798551121,-2.691663635551958,-2.678119285592705,-2.6645749356334525,-2.6510305856742002,-2.6349377704378503,-2.6188449552015003,-2.6027521399651503,-2.5866593247288003,-2.5705665094924504,-2.554473694256101,-2.538380879019751,-2.522288063783401,-2.506195248547051,-2.490102433310701,-2.506195248547051,-2.522288063783401,-2.538380879019751,-2.554473694256101,-2.5705665094924504,-2.5866593247288003,-2.6027521399651503,-2.6188449552015003,-2.6349377704378503,-2.6510305856742002,-2.6645749356334525,-2.678119285592705,-2.691663635551958,-2.70520798551121,-2.7187523354704624,-2.732296685429715,-2.7458410353889677,-2.75938538534822,-2.772929735307472,-2.786474085266725,-2.786956185462965,-2.787438285659205,-2.787920385855445,-2.788402486051685,-2.7888845862479252,-2.7893666864441653,-2.7898487866404054,-2.7903308868366454,-2.7908129870328855,-2.7912950872291256,-2.7774308329392787,-2.7635665786494314,-2.7497023243595846,-2.735838070069738,-2.721973815779891,-2.7081095614900437,-2.694245307200197,-2.68038105291035,-2.6665167986205027,-2.652652544330656,-2.647788257308152,-2.642923970285648,-2.6380596832631444,-2.6331953962406405,-2.6283311092181365,-2.6234668221956325,-2.6186025351731286,-2.613738248150625,-2.608873961128121
4,-2.6135281534076924,-2.597760812152114,-2.5819934708965353,-2.566226129640957,-2.5504587883853787,-2.5346914471298003,-2.5189241058742216,-2.5031567646186432,-2.487389423363065,-2.471622082107486,-2.455854740851908,-2.436059358935658,-2.4162639770194074,-2.3964685951031575,-2.3766732131869075,-2.3568778312706575,-2.337082449354407,-2.317287067438157,-2.297491685521907,-2.277696303605657,-2.257900921689407,-2.277696303605657,-2.297491685521907,-2.317287067438157,-2.337082449354407,-2.3568778312706575,-2.3766732131869075,-2.3964685951031575,-2.4162639770194074,-2.436059358935658,-2.455854740851908,-2.471622082107486,-2.487389423363065,-2.5031567646186432,-2.5189241058742216,-2.5346914471298003,-2.5504587883853787,-2.566226129640957,-2.5819934708965353,-2.597760812152114,-2.6135281534076924,-2.6141204580888213,-2.6147127627699507,-2.6153050674510796,-2.615897372132209,-2.616489676813338,-2.617081981494467,-2.617674286175596,-2.618266590856725,-2.6188588955378544,-2.6194512002189834,-2.6035534075509266,-2.5876556148828698,-2.5717578222148125,-2.5558600295467557,-2.539962236878699,-2.524064444210642,-2.5081666515425853,-2.492268858874528,-2.4763710662064713,-2.4604732735384145,-2.4506449614771157,-2.440816649415817,-2.430988337354518,-2.421160025293219,-2.4113317132319203,-2.4015034011706216,-2.391675089109323,-2.3818467770480236,-2.372018464986725
5,-2.439518646939669,-2.42263666460811,-2.4057546822765516,-2.3888726999449927,-2.3719907176134343,-2.3551087352818754,-2.3382267529503165,-2.321344770618758,-2.304462788287199,-2.2875808059556406,-2.2706988236240817,-2.2507052952333346,-2.2307117668425875,-2.21071823845184,-2.190724710061093,-2.170731181670346,-2.1507376532795988,-2.1307441248888517,-2.110750596498104,-2.090757068107357,-2.07076353971661,-2.090757068107357,-2.110750596498104,-2.1307441248888517,-2.1507376532795988,-2.170731181670346,-2.190724710061093,-2.21071823845184,-2.2307117668425875,-2.2507052952333346,-2.2706988236240817,-2.2875808059556406,-2.304462788287199,-2.321344770618758,-2.3382267529503165,-2.3551087352818754,-2.3719907176134343,-2.3888726999449927,-2.4057546822765516,-2.42263666460811,-2.439518646939669,-2.440148544583876,-2.440778442228083,-2.4414083398722894,-2.4420382375164964,-2.4426681351607034,-2.4432980328049103,-2.4439279304491173,-2.444557828093324,-2.4451877257375307,-2.4458176233817377,-2.4335262468028134,-2.4212348702238895,-2.408943493644965,-2.3966521170660413,-2.384360740487117,-2.3720693639081927,-2.359777987329269,-2.3474866107503445,-2.3351952341714206,-2.3229038575924963,-2.301451402461154,-2.2799989473298115,-2.258546492198469,-2.2370940370671266,-2.2156415819357846,-2.1941891268044422,-2.1727366716731,-2.1512842165417574,-2.129831761410415
6,-2.2728703334450207,-2.2539567519276824,-2.2350431704103437,-2.2161295888930055,-2.1972160073756672,-2.1783024258583286,-2.1593888443409903,-2.140475262823652,-2.121561681306314,-2.102648099788975,-2.083734518271637,-2.067864855964488,-2.0519951936573384,-2.036125531350189,-2.02025586904304,-2.004386206735891,-1.9885165444287414,-1.9726468821215921,-1.9567772198144429,-1.9409075575072936,-1.9250378952001443,-1.9409075575072936,-1.9567772198144429,-1.9726468821215921,-1.9885165444287414,-2.004386206735891,-2.02025586904304,-2.036125531350189,-2.0519951936573384,-2.067864855964488,-2.083734518271637,-2.102648099788975,-2.121561681306314,-2.140475262823652,-2.1593888443409903,-2.1783024258583286,-2.1972160073756672,-2.2161295888930055,-2.2350431704103437,-2.2539567519276824,-2.2728703334450207,-2.2722404358008137,-2.2716105381566067,-2.2709806405124002,-2.2703507428681933,-2.2697208452239863,-2.2690909475797794,-2.2684610499355724,-2.267831152291366,-2.267201254647159,-2.266571357002952,-2.261807101014382,-2.2570428450258118,-2.2522785890372417,-2.2475143330486715,-2.2427500770601014,-2.2379858210715313,-2.233221565082961,-2.228457309094391,-2.223693053105821,-2.218928797117251,-2.185573708695035,-2.1522186202728184,-2.1188635318506024,-2.0855084434283864,-2.0521533550061704,-2.0187982665839543,-1.985443178161738,-1.9520880897395219,-1.9187330013173058
7,-2.0988608269769973,-2.0788675713425,-2.058874315708003,-2.038881060073506,-2.0188878044390095,-1.9988945488045124,-1.9789012931700154,-1.9589080375355183,-1.9389147819010213,-1.9189215262665245,-1.8989282706320274,-1.88742264701594,-1.8759170233998528,-1.8644113997837655,-1.8529057761676782,-1.841400152551591,-1.8298945289355038,-1.8183889053194164,-1.8068832817033291,-1.7953776580872418,-1.7838720344711545,-1.7953776580872418,-1.8068832817033291,-1.8183889053194164,-1.8298945289355038,-1.841400152551591,-1.8529057761676782,-1.8644113997837655,-1.8759170233998528,-1.88742264701594,-1.8989282706320274,-1.9189215262665245,-1.9389147819010213,-1.9589080375355183,-1.9789012931700154,-1.9988945488045124,-2.0188878044390095,-2.038881060073506,-2.058874315708003,-2.0788675713425,-2.0988608269769973,-2.0989994257530546,-2.099138024529112,-2.0992766233051694,-2.0994152220812268,-2.0995538208572846,-2.099692419633342,-2.0998310184093993,-2.0999696171854567,-2.100108215961514,-2.1002468147375715,-2.092877621885177,-2.085508429032782,-2.078139236180387,-2.0707700433279923,-2.0634008504755976,-2.056031657623203,-2.0486624647708083,-2.041293271918413,-2.0339240790660185,-2.026554886213624,-1.993831224441641,-1.9611075626696584,-1.9283839008976755,-1.8956602391256927,-1.86293657735371,-1.8302129155817273,-1.7974892538097444,-1.7647655920377616,-1.732041930265779
8,-1.9259148951179652,-1.9044499147060552,-1.8829849342941454,-1.8615199538822353,-1.8400549734703253,-1.8185899930584153,-1.7971250126465055,-1.7756600322345955,-1.7541950518226854,-1.7327300714107756,-1.7112650909988656,-1.6988328532788408,-1.6864006155588163,-1.6739683778387915,-1.6615361401187667,-1.6491039023987422,-1.6366716646787174,-1.6242394269586926,-1.6118071892386678,-1.5993749515186433,-1.5869427137986185,-1.5993749515186433,-1.6118071892386678,-1.6242394269586926,-1.6366716646787174,-1.6491039023987422,-1.6615361401187667,-1.6739683778387915,-1.6864006155588163,-1.6988328532788408,-1.7112650909988656,-1.7327300714107756,-1.7541950518226854,-1.7756600322345955,-1.7971250126465055,-1.8185899930584153,-1.8400549734703253,-1.8615199538822353,-1.8829849342941454,-1.9044499147060552,-1.9259148951179652,-1.9254327949217251,-1.924950694725485,-1.924468594529245,-1.923986494333005,-1.9235043941367649,-1.9230222939405246,-1.9225401937442845,-1.9220580935480445,-1.9215759933518044,-1.9210938931555643,-1.9119170340569578,-1.9027401749583512,-1.8935633158597447,-1.8843864567611381,-1.8752095976625318,-1.8660327385639253,-1.8568558794653187,-1.8476790203667122,-1.8385021612681056,-1.829325302169499,-1.8034724046320387,-1.7776195070945786,-1.7517666095571183,-1.7259137120196582,-1.7000608144821978,-1.6742079169447375,-1.6483550194072774,-1.622502121869817,-1.596649224332357
9,-1.7521032014077507,-1.7289248053999635,-1.7057464093921761,-1.682568013384389,-1.6593896173766018,-1.6362112213688147,-1.6130328253610273,-1.5898544293532402,-1.5666760333454528,-1.5434976373376657,-1.5203192413298785,-1.5051182473345988,-1.489917253339319,-1.4747162593440393,-1.4595152653487595,-1.4443142713534798,-1.4291132773582,-1.4139122833629203,-1.3987112893676406,-1.3835102953723608,-1.368309301377081,-1.3835102953723608,-1.3987112893676406,-1.4139122833629203,-1.4291132773582,-1.4443142713534798,-1.4595152653487595,-1.4747162593440393,-1.489917253339319,-1.5051182473345988,-1.5203192413298785,-1.5434976373376657,-1.566676033345453,-1.5898544293532402,-1.6130328253610273,-1.6362112213688147,-1.6593896173766018,-1.682568013384389,-1.7057464093921761,-1.7289248053999635,-1.7521032014077507,-1.7514914632949594,-1.750879725182168,-1.7502679870693767,-1.7496562489565852,-1.749044510843794,-1.7484327727310027,-1.7478210346182113,-1.74720929650542,-1.7465975583926285,-1.7459858202798373,-1.733945383256213,-1.7219049462325886,-1.7098645092089644,-1.6978240721853401,-1.685783635161716,-1.6737431981380915,-1.6617027611144672,-1.649662324090843,-1.6376218870672186,-1.6255814500435943,-1.6201029377187246,-1.6146244253938549,-1.609145913068985,-1.6036674007441152,-1.5981888884192454,-1.5927103760943757,-1.587231863769506,-1.581753351444636,-1.5762748391197663
10,-1.574956302798047,-1.5512592825100897,-1.527562262222132,-1.5038652419341747,-1.4801682216462173,-1.45647120135826,-1.4327741810703023,-1.409077160782345,-1.3853801404943873,-1.36168312020643,-1.3379860999184725,-1.3220120597831175,-1.3060380196477628,-1.2900639795124078,-1.274089939377053,-1.258115899241698,-1.2421418591063431,-1.2261678189709884,-1.2101937788356334,-1.1942197387002786,-1.1782456985649237,-1.1942197387002786,-1.2101937788356334,-1.2261678189709884,-1.2421418591063431,-1.258115899241698,-1.274089939377053,-1.2900639795124078,-1.3060380196477628,-1.3220120597831175,-1.3379860999184725,-1.36168312020643,-1.3853801404943875,-1.409077160782345,-1.4327741810703023,-1.45647120135826,-1.4801682216462173,-1.5038652419341747,-1.527562262222132,-1.5512592825100897,-1.574956302798047,-1.574736304946748,-1.574516307095449,-1.5742963092441502,-1.574076311392851,-1.573856313541552,-1.573636315690253,-1.5734163178389542,-1.573196319987655,-1.572976322136356,-1.572756324285057,-1.5575529168034137,-1.5423495093217703,-1.527146101840127,-1.5119426943584835,-1.4967392868768403,-1.481535879395197,-1.4663324719135535,-1.4511290644319101,-1.4359256569502667,-1.4207222494686234,-1.4222984771308658,-1.4238747047931082,-1.4254509324553508,-1.4270271601175932,-1.4286033877798356,-1.430179615442078,-1.4317558431043205,-1.433332070766563,-1.4349082984288055
