turtle,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9
1,3.0,2.923223544997134,2.9037875480944826,2.9253435759994026,2.971543195419252,3.0260379730613898,3.072479475633175,3.0945192698419657,3.075808922395121,3.0,3.0,2.852944752478559,2.878743927198623,3.0280872625768427,3.2516644970298705,3.5001653689743613,3.724279616826966,3.874696979004339,3.9021071939231327,3.7572,3.7572,3.5603586496982653,3.4485853255224095,3.3974981609508124,3.382715289461853,3.3798548445339156,3.36453495964538,3.3123737682746284,3.1989894039000406,3.0,3.0,2.9241910776048776,2.905480730158034,2.927520524366826,2.9739620269386107,3.0284568045807485,3.0746564240005974,3.096212451905517,3.0767764550028645,3.0,3.0,2.9963359463958987,2.9954199714947913,2.996466904452976,2.9986915744267506,3.001308810572419,3.003533442046277,3.004580298004627,3.0036642076037676,3.0,3.0,2.917339566895354,2.9315318311513896,3.0149059212556923,3.1397909656958483,3.2785160929594466,3.403410431534074,3.486803109907317,3.5010232565667634,3.4184
2,3.0,2.9260584244497077,2.915160464382461,2.949412120066866,3.0109193917715285,3.0817882797650595,3.144124784316064,3.1800349056931507,3.1716246441649267,3.101,3.101,2.8875210810645533,2.9245369049103584,3.140958180231389,3.46569561572162,3.827659920075032,4.155761801985599,4.378911970147298,4.426021133254106,4.226,4.226,3.9488183729187325,3.7891374125687514,3.7129048646810685,3.6860684749866968,3.6745759892166516,3.644375153101945,3.561413712373592,3.391639412762606,3.101,3.101,3.0234480581670335,2.9964726388884673,3.0055048453135664,3.0359757805915937,3.0733165478718183,3.102958250303505,3.1103319910359204,3.08086887321833,3.0,3.0,2.9264801684114903,2.9391141267645433,3.013282137516305,3.1243644631239214,3.247741366044541,3.358793108735312,3.43289995365338,3.4454421632558936,3.3718,3.3718,3.2431787741380798,3.2589890306332876,3.377862408389203,3.558430546309403,3.7593250832974707,3.939177658256984,4.0566199100915235,4.070283477704669,3.9388
3,3.0,2.926646924542505,2.9298939351435003,2.988078824434079,3.079539385045332,3.1826134096083547,3.2756386907542394,3.3369530211140797,3.344894193318969,3.2778,3.2778,3.044842508426844,3.0830380565626565,3.316146263391192,3.667926747896207,4.062139129061462,4.422543025870711,4.6728980573077115,4.736963842356222,4.5385,4.5385,4.253568393583419,4.085900570950176,4.000760677832994,3.9634128599646017,3.939121263077729,3.8931500329051048,3.790763315179456,3.5972252556335116,3.2778,3.2778,3.1916523087386435,3.1485301064579363,3.1359168648013163,3.141296055412221,3.1521511499340917,3.155965620010366,3.140222937284483,3.092406573399881,3.0,3.0,2.868746866169091,2.891471567704992,3.0241678680752377,3.2228295307473647,3.44345031918891,3.642023996867409,3.7745443272504,3.7970050738054177,3.6654,3.6654,3.4752854142303624,3.499230226340864,3.675435542858194,3.9421024703090355,4.237432115220079,4.49962558411801,4.666883983529515,4.677408419981283,4.4694
4,3.0,2.903659564149297,2.9220735389576897,3.022997937983854,3.1741887747864674,3.3434020629242083,3.498393815955754,3.606920047439783,3.6367367709349723,3.5556,3.5556,3.3498927314184352,3.382489756806637,3.587291205144634,3.8981972054124547,4.249107886590132,4.573923377657696,4.806543807595174,4.8808693053826,4.7308,4.7308,4.500127128087908,4.358435067576294,4.278313659379343,4.232352744411239,4.193142163586174,4.13327175781833,4.025331368021896,3.8419108351110567,3.5556,3.5556,3.4363562331802533,3.3640462077042503,3.324717295155358,3.3044168671169443,3.2891922951723807,3.2650909509050354,3.2181602058982772,3.1344474317354756,3.0,3.0,2.8203260725174375,2.8514740411846264,3.0331757760724223,3.3051631472516827,3.607168024793268,3.8789222787680337,4.06015777924684,4.090606396300542,3.91,3.91,3.6766512168880077,3.7214383711733774,3.9630167640668583,4.320041696779198,4.711168470521145,5.05505238650345,5.270348745936861,5.275712850032129,4.9898
5,3.0,2.8674904312608325,2.900010146599574,3.051551192347744,3.2761056148368644,3.527665460398458,3.7602227753640456,3.9277696060651506,3.984297998833295,3.8838,3.8838,3.745750857104705,3.773414254194682,3.921360320395975,4.1441591848346295,4.396380976636696,4.632595824928218,4.807373858835245,4.875285207483824,4.7909,4.7909,4.644299429004516,4.545473603441847,4.4788560269236335,4.428880203061522,4.379979635467153,4.3165878277521745,4.223138283528225,4.084064506406953,3.8838,3.8838,3.7226847172160866,3.6167587889965773,3.5491105579692883,3.502828366762037,3.461000558002642,3.406715474318923,3.3230614583386973,3.193126852689783,3.0,3.0,2.7758844950942447,2.814888078788361,3.0417697076842107,3.3812883383836545,3.758202927488557,4.09727243160078,4.3232558073221865,4.360912011254639,4.135,4.135,3.8755528910067305,3.736514612825698,3.6805673805961727,3.670393409457427,3.668674914548738,3.6380941110093765,3.5413332139786178,3.341074438595734,3.0
6,3.3854,3.2726248119996404,3.3068712095910735,3.4476558548064262,3.6544954096778253,3.8869065362374,4.104405896517277,4.266510152549584,4.3327359663664495,4.2626,4.2626,4.196051902471254,4.220604730886653,4.311350146481547,4.443379810491285,4.591785384151223,4.731658528696711,4.838090905363101,4.886174175385747,4.851,4.851,4.775469171665006,4.715396611783675,4.665245175006993,4.619477715985952,4.572557089371542,4.518946149814751,4.45310775196657,4.36950475047799,4.2626,4.2626,4.132299424580052,4.037284086133544,3.9659496590382792,3.9066918176720655,3.84790623641271,3.777988589638019,3.6853345517257994,3.5583397970538573,3.3854,3.3854,3.1959309375228204,3.2292542846675123,3.4217914082901126,3.7099636752466596,4.030192452393195,4.318899106585758,4.512505004680387,4.5474315135331205,4.3601,4.3601,4.1196402652848585,3.975600818211546,3.896230554700664,3.8497783706728095,3.804493162048587,3.7286238247485937,3.5904192546934315,3.3581283478036994,3.0
7,4.0417,3.983127904913492,4.013758964280391,4.109379312570411,4.245775084253262,4.398732413798661,4.54403743567632,4.657476284355954,4.714835094307276,4.6919,4.6919,4.678035111968372,4.694409710334875,4.732730491313221,4.784704151117123,4.842037385960299,4.896436892056459,4.93960936561932,4.963261502862595,4.9591,4.9591,4.936612022514633,4.911149207768884,4.883214959795395,4.853312682626808,4.821945780295772,4.7896176568349285,4.756831716276922,4.7240913626543986,4.6919,4.6919,4.624369569615905,4.562212878881358,4.50262182358294,4.442788299507238,4.37990420244084,4.3111614281703305,4.233751872482297,4.144867431163324,4.0417,4.0417,3.9365659036309646,3.9548433090228463,4.061258320984312,4.220537044324033,4.397405583850683,4.556590044372934,4.662816530699455,4.68081114763892,4.5753,4.5753,4.3557083395388565,4.209578650806599,4.1102013381116835,4.030866805762566,3.9448654580677065,3.8254876993355627,3.646023933874592,3.379764565993251,3.0
8,4.5729,4.542686843020253,4.574108855402982,4.6508166599549545,4.756460879482938,4.874692136793706,4.9891610546940255,5.0835182559906675,5.141414363490402,5.1465,5.1465,5.142371628777153,5.163999387812727,5.204565832484132,5.257253518168777,5.315245000244075,5.371722834087435,5.419869575076268,5.452867778587986,5.4639,5.4639,5.45316267408691,5.427818490767353,5.391499388134789,5.347837304282675,5.300464177304474,5.253011945293646,5.2091125463436505,5.172397918547949,5.1465,5.1465,5.112244072723588,5.064704789276821,5.0064167230837535,4.939914447568435,4.8677325361549215,4.792405562267268,4.716468099329527,4.642454720765753,4.5729,4.5729,4.524449765631235,4.533498182623758,4.583651211219384,4.658514811659924,4.741694944187203,4.8167975690430325,4.8674286464692305,4.877194136707614,4.8297,4.8297,4.64678818510739,4.506751224055438,4.389029731079498,4.2730643204149255,4.138295606297075,3.964164202961303,3.730110724642963,3.41557578557741,3.0
9,5.0417,5.033014038599131,5.069565983126127,5.139858322142946,5.23239354421155,5.335674137893902,5.438202591751961,5.52848139434769,5.595013034243048,5.6263,5.6263,5.639600962464662,5.65532691515645,5.673945616285379,5.695924824061468,5.7217322966947375,5.751835792395206,5.786703069372894,5.826801885837819,5.8726,5.8726,5.901505110046955,5.896330675483075,5.865653096493683,5.818048773264111,5.762094105979684,5.706365494825732,5.659439339987582,5.629892041650562,5.6263,5.6263,5.617490943809075,5.576565244884136,5.511271482322114,5.4293582352199525,5.338574082674595,5.24666760378298,5.161387377642049,5.090481983348742,5.0417,5.0417,5.0286053675614015,5.031961955514863,5.047093665739345,5.069324400113819,5.093978060517256,5.1163785488286235,5.131849766926891,5.1357156166910265,5.1233,5.1233,5.02148942718122,4.914140639818035,4.794239005517198,4.654769891885471,4.48871866652961,4.289070697056375,4.048811351072523,3.760925996184812,3.4184
10,5.4896,5.5047174511706976,5.547440334967759,5.611356120021121,5.690052274960715,5.777116268416482,5.866135569018359,5.9506976453962785,6.0243899661801805,6.0808,6.0808,6.12669337240695,6.132584625881996,6.11136942625711,6.07594343936427,6.0392023310354555,6.014041767102644,6.013357413397812,6.050044935752938,6.137,6.137,6.2201004689109824,6.2464576757654235,6.230817492156616,6.18792578967785,6.132528439922424,6.079371314483631,6.043200284954767,6.038761222929125,6.0808,6.0808,6.096661336974825,6.0616831502141455,5.988916282833495,5.891411577948401,5.782219878674402,5.674392028127029,5.580978869421815,5.515031245674295,5.4896,5.4896,5.489782943480814,5.490286116401187,5.491018152675981,5.491887686220059,5.492803350948288,5.4936737807755325,5.4944076096166565,5.494913471386523,5.4951,5.4951,5.4680644481694705,5.392450437357573,5.273446592442924,5.116241538304142,4.926023899819853,4.7079823018686735,4.467305369329225,4.209181727080126,3.9388
