turtle,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9
1,5.4792,5.4685950345844425,5.4414641601116776,5.402065441043602,5.354656941842115,5.303496726969117,5.252842860886506,5.206953408056184,5.170086432940049,5.1465,5.1465,5.123635702392214,5.121476324516504,5.133656408850434,5.153810497871564,5.175573134057462,5.192578859885691,5.198462217833813,5.186857750379396,5.1514,5.1514,5.115606172803045,5.103101019477571,5.107680399373568,5.123140171841028,5.143276196229944,5.161884331890307,5.172760438172109,5.169700374425343,5.1465,5.1465,5.145732497101102,5.170020254495254,5.212668250224605,5.2669814623312945,5.326264868857473,5.3838234478452875,5.432962177336883,5.466986035374404,5.4792,5.4792,5.479711453384933,5.481156826399209,5.483270354910436,5.485786274786223,5.488438821894184,5.490962232101931,5.493090741277075,5.494558585287227,5.4951,5.4951,5.493641197290152,5.490137413451001,5.485072559733063,5.478930547386856,5.4721952876629025,5.465350691811721,5.458880671083829,5.453269136729749,5.449
2,5.0417,5.0179026784707705,4.9881816061643525,4.953762151196719,4.915869681683843,4.875729565741705,4.834567171486275,4.793607867033531,4.754077020499447,4.7172,4.7172,4.646353157945241,4.654466240192578,4.717741202737452,4.812380001575311,4.914584592701601,5.000556932111769,5.04649897580126,5.028612679765522,4.9231,4.9231,4.803465235186465,4.747731751222059,4.7388801049252685,4.759890853114586,4.793744552608503,4.823421760225512,4.831903032784103,4.802168927102769,4.7172,4.7172,4.702579495275585,4.722696111018595,4.7680920877729855,4.829309666082712,4.896891086491739,4.961378589544022,5.013314415783521,5.043240805754193,5.0417,5.0417,5.0286053675614015,5.031961955514863,5.047093665739345,5.069324400113819,5.093978060517256,5.1163785488286235,5.131849766926891,5.1357156166910265,5.1233,5.1233,5.10515567967832,5.120900529677694,5.161832035133092,5.219247681179476,5.284444952951812,5.348721335585067,5.403374314214206,5.439701373974195,5.449
3,4.5729,4.535058733844989,4.507425700495749,4.486587507266415,4.469130761471121,4.451642070424003,4.430708041439196,4.402915281830838,4.3648503989130605,4.3131,4.3131,4.189155310068572,4.209400853558132,4.33072179482853,4.510003298239608,4.704130528151223,4.86998864892322,4.964462824915449,4.9444382204877595,4.7668,4.7668,4.558043809690565,4.454623046140792,4.428359499224929,4.451074958817228,4.494591214791941,4.530730057023323,4.531313275385626,4.468162659753101,4.3131,4.3131,4.279168531128092,4.288858380720603,4.330203069671915,4.391236118876409,4.459991049228469,4.524501381622475,4.5728006369528105,4.592922336113858,4.5729,4.5729,4.524449765631235,4.533498182623758,4.583651211219384,4.658514811659924,4.741694944187203,4.8167975690430325,4.8674286464692305,4.877194136707614,4.8297,4.8297,4.760861752443777,4.773177684815129,4.846615579859448,4.9611432203221355,5.096728388948588,5.233338868484203,5.350942441674378,5.429506891264511,5.449
4,4.0417,3.9732595209882704,3.9505737307711875,3.959787814045157,3.987046955506588,4.0184963398518905,4.040281151777474,4.038546575979748,3.999437797155119,3.9091,3.9091,3.7414723573613053,3.767943960356317,3.931068093996162,4.17339804329197,4.437487093254871,4.665888528895995,4.801155635226472,4.78584169725743,4.5625,4.5625,4.294343487927754,4.15892584625501,4.120311471104005,4.142564758596981,4.189750104856179,4.225931906003838,4.215174558162202,4.121542457453509,3.9091,3.9091,3.8278568530506414,3.8131217367774544,3.8466744037780827,3.9102946066501674,3.985762097991355,4.0548566303992875,4.099357956471611,4.101045828805966,4.0417,4.0417,3.9370847080104903,3.9558118464810654,4.062698202689609,4.222560563914011,4.400215717432161,4.560480450521947,4.668171550461255,4.688105804527977,4.5851,4.5851,4.4376097955278935,4.431829936121179,4.533114462469082,4.706817415260824,4.918292835185632,5.132894762932729,5.315977239191339,5.432894304650688,5.449
5,3.3854,3.2609404491045315,3.2540944276722183,3.3301172797195555,3.4542643492630374,3.5917909803191628,3.707952516904425,3.7680043030353216,3.7372016827283483,3.5808,3.5808,3.412389145661821,3.4312218507925625,3.58248894334654,3.8113812512780663,4.063089602541459,4.282804825091033,4.415717746881104,4.407019195865988,4.2019,4.2019,3.9541813528308567,3.8313162723232854,3.7989433230571157,3.822701069612177,3.868228076568299,3.9011629085053126,3.8871441300030476,3.7918103056413335,3.5808,3.5808,3.4109963968326937,3.3442766297493147,3.352328964577057,3.406841667143115,3.4795030032746856,3.5420012387989637,3.566024639543145,3.523261471334426,3.3854,3.3854,3.19593093752282,3.229254284667512,3.4217914082901126,3.70996367524666,4.030192452393195,4.318899106585758,4.512505004680387,4.547431513533121,4.3601,4.3601,4.171117283850212,4.13394386895583,4.211263202937727,4.365758733416777,4.560113908013858,4.757012174349846,4.919136980045614,5.00917177272204,4.9898
6,3.0,2.8503915926510186,2.8456503279572667,2.9433269027110356,3.1009720137046175,3.2761363577303064,3.4263706315803963,3.5092255320471795,3.4822517559229498,3.303,3.303,3.171985390202266,3.179713058710445,3.286023594443188,3.450757586319146,3.6337556232569734,3.79485829417532,3.8939061879928385,3.8907398936281807,3.7452,3.7452,3.569330888264822,3.4848822893734166,3.466252816935792,3.487841084561957,3.5240457058619237,3.5492652944457013,3.5378984639233,3.464343827904729,3.303,3.303,3.102966351072934,3.020297101697676,3.022518257308493,3.077155823339652,3.151735805225424,3.2137842084000763,3.230827038297877,3.1703903003530955,3.0,3.0,2.7758844950942447,2.814888078788361,3.0417697076842107,3.3812883383836545,3.758202927488557,4.09727243160078,4.3232558073221865,4.360912011254639,4.135,4.135,3.8809023027664216,3.805152822449066,3.8625223145969567,4.007781534759122,4.195701238484588,4.381052181322382,4.518605118821531,4.563130806531062,4.4694
7,3.0,2.874289262585456,2.857452058341098,2.917800880631261,3.023648222820279,3.143306578272491,3.245088440352233,3.2973063024238405,3.268272657851651,3.1263,3.1263,3.0577923185323934,3.030813348111071,3.033401607016297,3.0535956135283344,3.0794338859274513,3.0989549424939105,3.1001973015079787,3.07119948124992,3.0,3.0,2.9374630701904083,2.9316808877924334,2.9665339463949785,3.0259027395869524,3.0936677609572625,3.153709504094815,3.1899084625885177,3.1861451300272767,3.1263,3.1263,2.975664790708019,2.9234155082757476,2.942022670758879,3.0039567962131057,3.0816884026941245,3.147688008257629,3.174426130959313,3.1343732888548717,3.0,3.0,2.8198424134236983,2.851397943806823,3.034184996728508,3.3077219777678883,3.611527292504102,3.885119346516284,4.06801654538357,4.099737294685097,3.9198,3.9198,3.589809211056338,3.4699875916095007,3.5058449868810015,3.6428912420923556,3.826636202465081,4.002589713220692,4.116261619580705,4.113161766766636,3.9388
8,3.0,2.8770524198763794,2.8485481122470597,2.8871843439134404,2.9656583816769233,3.056667492338915,3.1329089427008148,3.1670799995640273,3.1318779297299546,3.0,3.0,2.9149374819029807,2.9160025911785556,2.9785449477964825,3.07791417172652,3.1894598829384315,3.2885317014019746,3.35047924708691,3.3506521399629987,3.2644,3.2644,3.160013429309977,3.1115860478376445,3.10317200230173,3.1188254394209656,3.142600505914084,3.158551348499815,3.1507321138968902,3.103196948824041,3.0,3.0,2.868122070270044,2.8329200004359727,2.8670910572991857,2.9433325076610855,3.0343416183230767,3.1128156560865605,3.1514518877529403,3.1229475801236193,3.0,3.0,2.868746866169091,2.891471567704992,3.0241678680752377,3.2228295307473647,3.44345031918891,3.642023996867409,3.7745443272504,3.7970050738054177,3.6654,3.6654,3.239086274052808,3.0709776527840207,3.093150800063901,3.237682379762712,3.43664905575072,3.6221274918981883,3.726194352075381,3.680926300152564,3.4184
9,3.0,2.867776571854863,2.835375355047867,2.874182197735358,2.9555829480736824,3.0509634542191906,3.1317095643282276,3.1692071265571435,3.1348419890622843,3.0,3.0,2.8554729099215557,2.8753997125153674,3.0129411658112524,3.2212580278390304,3.453511056628521,3.662861010209544,3.8024686466119184,3.8254947238654635,3.6851,3.6851,3.4977162500714347,3.394811737475872,3.352101952753419,3.345302386444181,3.350128529088267,3.342295871225785,3.297519903396841,3.1915161161415435,3.0,3.0,2.8651580109377144,2.8307928734428565,2.868290435671773,2.9490365457808103,3.0444170519263176,3.125817802264642,3.1646246449521325,3.1322234281451355,3.0,3.0,2.9264801684114903,2.9391141267645433,3.013282137516305,3.1243644631239214,3.247741366044541,3.358793108735312,3.43289995365338,3.4454421632558936,3.3718,3.3718,2.9506512053900624,2.7864339789059462,2.8097316860114585,2.951127692170406,3.1412053628466,3.3105480635038482,3.3897391596059583,3.3093620166167392,3.0
10,3.0,2.8644664112236846,2.8336059836073173,2.8776814373560016,2.96695549267484,3.0716908697689385,3.1621502888433994,3.2085964701033274,3.1812921337538262,3.0505,3.0505,2.875599585528875,2.904472486004765,3.079371848953236,3.342550821899852,3.6362625523701846,3.902760187889798,4.08429687598426,4.123125764179139,3.9615,3.9615,3.7373913825972664,3.6087662241529137,3.5478694417398318,3.5269459524309132,3.5182406732990503,3.4939985214171356,3.426464413858061,3.2878832676947183,3.0505,3.0505,2.916244217412154,2.879657302187482,2.9126645259714157,2.987191160409388,3.0751624771468338,3.148503747829184,3.1791402441018732,3.138997237610334,3.0,3.0,2.998732522474201,2.998415655835376,2.9987777965811553,2.9995473412091718,3.0004526862170606,3.0012222281024536,3.001584363362986,3.00126748849629,3.0,3.0,2.6335694514736896,2.5244619005040656,2.601656478337508,2.7941323162203995,3.030868545399125,3.2408442971200637,3.3530387026296014,3.2964308931741186,3.0
