turtle,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9
1,-3.133272845558609,-3.1200579499413306,-3.1068430543240524,-3.0936281587067738,-3.080413263089495,-3.0671983674722165,-3.0539834718549383,-3.0407685762376597,-3.027553680620381,-3.014338785003103,-3.0011238893858243,-2.9954290029490336,-2.9897341165122424,-2.9840392300754517,-2.978344343638661,-2.97264945720187,-2.966954570765079,-2.9612596843282883,-2.9555647978914976,-2.9498699114547065,-2.9441750250179157,-2.9498699114547065,-2.9555647978914976,-2.9612596843282883,-2.966954570765079,-2.97264945720187,-2.978344343638661,-2.9840392300754517,-2.9897341165122424,-2.9954290029490336,-3.0011238893858243,-3.014338785003103,-3.027553680620381,-3.0407685762376597,-3.0539834718549383,-3.0671983674722165,-3.080413263089495,-3.0936281587067738,-3.1068430543240524,-3.1200579499413306,-3.133272845558609,-3.1339088266127115,-3.134544807666814,-3.135180788720916,-3.1358167697750186,-3.136452750829121,-3.1370887318832232,-3.1377247129373256,-3.138360693991428,-3.1389966750455303
2,-2.9602857789769392,-2.9468755036053214,-2.933465228233704,-2.920054952862086,-2.9066446774904686,-2.8932344021188507,-2.879824126747233,-2.8664138513756154,-2.8530035760039976,-2.83959330063238,-2.8261830252607623,-2.815203854892826,-2.80422468452489,-2.793245514156954,-2.782266343789018,-2.771287173421082,-2.760308003053146,-2.74932883268521,-2.738349662317274,-2.727370491949338,-2.7163913215814017,-2.727370491949338,-2.738349662317274,-2.74932883268521,-2.760308003053146,-2.771287173421082,-2.782266343789018,-2.793245514156954,-2.80422468452489,-2.815203854892826,-2.8261830252607623,-2.83959330063238,-2.8530035760039976,-2.8664138513756154,-2.879824126747233,-2.8932344021188507,-2.9066446774904686,-2.920054952862086,-2.933465228233704,-2.9468755036053214,-2.9602857789769392,-2.9608975170897307,-2.9615092552025217,-2.962120993315313,-2.9627327314281047,-2.963344469540896,-2.963956207653687,-2.9645679457664786,-2.96517968387927,-2.965791421992061
3,-2.786474085266725,-2.772929735307472,-2.75938538534822,-2.7458410353889677,-2.732296685429715,-2.7187523354704624,-2.70520798551121,-2.691663635551958,-2.678119285592705,-2.6645749356334525,-2.6510305856742002,-2.6349377704378503,-2.6188449552015003,-2.6027521399651503,-2.5866593247288003,-2.5705665094924504,-2.554473694256101,-2.538380879019751,-2.522288063783401,-2.506195248547051,-2.490102433310701,-2.506195248547051,-2.522288063783401,-2.538380879019751,-2.554473694256101,-2.5705665094924504,-2.5866593247288003,-2.6027521399651503,-2.6188449552015003,-2.6349377704378503,-2.6510305856742002,-2.6645749356334525,-2.678119285592705,-2.691663635551958,-2.70520798551121,-2.7187523354704624,-2.732296685429715,-2.7458410353889677,-2.75938538534822,-2.772929735307472,-2.786474085266725,-2.786956185462965,-2.787438285659205,-2.787920385855445,-2.788402486051685,-2.7888845862479252,-2.7893666864441653,-2.7898487866404054,-2.7903308868366454,-2.7908129870328855
4,-2.6135281534076924,-2.597760812152114,-2.5819934708965353,-2.566226129640957,-2.5504587883853787,-2.5346914471298003,-2.5189241058742216,-2.5031567646186432,-2.487389423363065,-2.471622082107486,-2.455854740851908,-2.436059358935658,-2.4162639770194074,-2.3964685951031575,-2.3766732131869075,-2.3568778312706575,-2.337082449354407,-2.317287067438157,-2.297491685521907,-2.277696303605657,-2.257900921689407,-2.277696303605657,-2.297491685521907,-2.317287067438157,-2.337082449354407,-2.3568778312706575,-2.3766732131869075,-2.3964685951031575,-2.4162639770194074,-2.436059358935658,-2.455854740851908,-2.471622082107486,-2.487389423363065,-2.5031567646186432,-2.5189241058742216,-2.5346914471298003,-2.5504587883853787,-2.566226129640957,-2.5819934708965353,-2.597760812152114,-2.6135281534076924,-2.6141204580888213,-2.6147127627699507,-2.6153050674510796,-2.615897372132209,-2.616489676813338,-2.617081981494467,-2.617674286175596,-2.618266590856725,-2.6188588955378544
5,-2.439518646939669,-2.42263666460811,-2.4057546822765516,-2.3888726999449927,-2.3719907176134343,-2.3551087352818754,-2.3382267529503165,-2.321344770618758,-2.304462788287199,-2.2875808059556406,-2.2706988236240817,-2.2507052952333346,-2.2307117668425875,-2.21071823845184,-2.190724710061093,-2.170731181670346,-2.1507376532795988,-2.1307441248888517,-2.110750596498104,-2.090757068107357,-2.07076353971661,-2.090757068107357,-2.110750596498104,-2.1307441248888517,-2.1507376532795988,-2.170731181670346,-2.190724710061093,-2.21071823845184,-2.2307117668425875,-2.2507052952333346,-2.2706988236240817,-2.2875808059556406,-2.304462788287199,-2.321344770618758,-2.3382267529503165,-2.3551087352818754,-2.3719907176134343,-2.3888726999449927,-2.4057546822765516,-2.42263666460811,-2.439518646939669,-2.440148544583876,-2.440778442228083,-2.4414083398722894,-2.4420382375164964,-2.4426681351607034,-2.4432980328049103,-2.4439279304491173,-2.444557828093324,-2.4451877257375307
6,-2.2728703334450207,-2.2539567519276824,-2.2350431704103437,-2.2161295888930055,-2.1972160073756672,-2.1783024258583286,-2.1593888443409903,-2.140475262823652,-2.121561681306314,-2.102648099788975,-2.083734518271637,-2.067864855964488,-2.0519951936573384,-2.036125531350189,-2.02025586904304,-2.004386206735891,-1.9885165444287414,-1.9726468821215921,-1.9567772198144429,-1.9409075575072936,-1.9250378952001443,-1.9409075575072936,-1.9567772198144429,-1.9726468821215921,-1.9885165444287414,-2.004386206735891,-2.02025586904304,-2.036125531350189,-2.0519951936573384,-2.067864855964488,-2.083734518271637,-2.102648099788975,-2.121561681306314,-2.140475262823652,-2.1593888443409903,-2.1783024258583286,-2.1972160073756672,-2.2161295888930055,-2.2350431704103437,-2.2539567519276824,-2.2728703334450207,-2.2722404358008137,-2.2716105381566067,-2.2709806405124002,-2.2703507428681933,-2.2697208452239863,-2.2690909475797794,-2.2684610499355724,-2.267831152291366,-2.267201254647159
7,-2.0988608269769973,-2.0788675713425,-2.058874315708003,-2.038881060073506,-2.0188878044390095,-1.9988945488045124,-1.9789012931700154,-1.9589080375355183,-1.9389147819010213,-1.9189215262665245,-1.8989282706320274,-1.88742264701594,-1.8759170233998528,-1.8644113997837655,-1.8529057761676782,-1.841400152551591,-1.8298945289355038,-1.8183889053194164,-1.8068832817033291,-1.7953776580872418,-1.7838720344711545,-1.7953776580872418,-1.8068832817033291,-1.8183889053194164,-1.8298945289355038,-1.841400152551591,-1.8529057761676782,-1.8644113997837655,-1.8759170233998528,-1.88742264701594,-1.8989282706320274,-1.9189215262665245,-1.9389147819010213,-1.9589080375355183,-1.9789012931700154,-1.9988945488045124,-2.0188878044390095,-2.038881060073506,-2.058874315708003,-2.0788675713425,-2.0988608269769973,-2.0989994257530546,-2.099138024529112,-2.0992766233051694,-2.0994152220812268,-2.0995538208572846,-2.099692419633342,-2.0998310184093993,-2.0999696171854567,-2.100108215961514
8,-1.9259148951179652,-1.9044499147060552,-1.8829849342941454,-1.8615199538822353,-1.8400549734703253,-1.8185899930584153,-1.7971250126465055,-1.7756600322345955,-1.7541950518226854,-1.7327300714107756,-1.7112650909988656,-1.6988328532788408,-1.6864006155588163,-1.6739683778387915,-1.6615361401187667,-1.6491039023987422,-1.6366716646787174,-1.6242394269586926,-1.6118071892386678,-1.5993749515186433,-1.5869427137986185,-1.5993749515186433,-1.6118071892386678,-1.6242394269586926,-1.6366716646787174,-1.6491039023987422,-1.6615361401187667,-1.6739683778387915,-1.6864006155588163,-1.6988328532788408,-1.7112650909988656,-1.7327300714107756,-1.7541950518226854,-1.7756600322345955,-1.7971250126465055,-1.8185899930584153,-1.8400549734703253,-1.8615199538822353,-1.8829849342941454,-1.9044499147060552,-1.9259148951179652,-1.9254327949217251,-1.924950694725485,-1.924468594529245,-1.923986494333005,-1.9235043941367649,-1.9230222939405246,-1.9225401937442845,-1.9220580935480445,-1.9215759933518044
9,-1.7521032014077507,-1.7289248053999635,-1.7057464093921761,-1.682568013384389,-1.6593896173766018,-1.6362112213688147,-1.6130328253610273,-1.5898544293532402,-1.5666760333454528,-1.5434976373376657,-1.5203192413298785,-1.5051182473345988,-1.489917253339319,-1.4747162593440393,-1.4595152653487595,-1.4443142713534798,-1.4291132773582,-1.4139122833629203,-1.3987112893676406,-1.3835102953723608,-1.368309301377081,-1.3835102953723608,-1.3987112893676406,-1.4139122833629203,-1.4291132773582,-1.4443142713534798,-1.4595152653487595,-1.4747162593440393,-1.489917253339319,-1.5051182473345988,-1.5203192413298785,-1.5434976373376657,-1.566676033345453,-1.5898544293532402,-1.6130328253610273,-1.6362112213688147,-1.6593896173766018,-1.682568013384389,-1.7057464093921761,-1.7289248053999635,-1.7521032014077507,-1.7514914632949594,-1.750879725182168,-1.7502679870693767,-1.7496562489565852,-1.749044510843794,-1.7484327727310027,-1.7478210346182113,-1.74720929650542,-1.7465975583926285
10,-1.574956302798047,-1.5512592825100897,-1.527562262222132,-1.5038652419341747,-1.4801682216462173,-1.45647120135826,-1.4327741810703023,-1.409077160782345,-1.3853801404943873,-1.36168312020643,-1.3379860999184725,-1.3220120597831175,-1.3060380196477628,-1.2900639795124078,-1.274089939377053,-1.258115899241698,-1.2421418591063431,-1.2261678189709884,-1.2101937788356334,-1.1942197387002786,-1.1782456985649237,-1.1942197387002786,-1.2101937788356334,-1.2261678189709884,-1.2421418591063431,-1.258115899241698,-1.274089939377053,-1.2900639795124078,-1.3060380196477628,-1.3220120597831175,-1.3379860999184725,-1.36168312020643,-1.3853801404943875,-1.409077160782345,-1.4327741810703023,-1.45647120135826,-1.4801682216462173,-1.5038652419341747,-1.527562262222132,-1.5512592825100897,-1.574956302798047,-1.574736304946748,-1.574516307095449,-1.5742963092441502,-1.574076311392851,-1.573856313541552,-1.573636315690253,-1.5734163178389542,-1.573196319987655,-1.572976322136356
